Full Path,Name,Date,URL,Last Updated,Description,Size
Arduino2to3/連接圖片壓縮/JOY腳位.jpg,JOY腳位.jpg,12/12/2019 20:21:23,https://drive.google.com/file/d/1nKkwePSkOS-DornfPlWKP61OyGpW7iGY/view?usp=drivesdk,12/12/2019 20:21:23,,81820
Arduino2to3/連接圖片壓縮/RGB腳位.jpg,RGB腳位.jpg,12/12/2019 20:21:23,https://drive.google.com/file/d/1zazXU5UN4sUDUUnkQMkH6IR0xo4Ls4LS/view?usp=drivesdk,12/12/2019 20:21:23,,83793
Arduino2to3/連接圖片壓縮/A0腳位.jpg,A0腳位.jpg,12/12/2019 20:21:17,https://drive.google.com/file/d/12U906bIMoRSBpIk0RbQBl4bNUekJmOQ8/view?usp=drivesdk,12/12/2019 20:21:17,,85323
Arduino2to3/連接圖片壓縮/D3與D9腳位.jpg,D3與D9腳位.jpg,12/12/2019 20:21:17,https://drive.google.com/file/d/17ofq0Xou4AEBBEPOs7iaH8Dbt4XDQimW/view?usp=drivesdk,12/12/2019 20:21:17,,89877
Arduino2to3/連接圖片壓縮/A0與RGB腳位.jpg,A0與RGB腳位.jpg,12/12/2019 20:21:17,https://drive.google.com/file/d/1UrxA7hKsHtdZIdkvCrUui9v_HqyFDcA_/view?usp=drivesdk,12/12/2019 20:21:17,,89397
Arduino2to3/連接圖片壓縮/D3腳位.jpg,D3腳位.jpg,12/12/2019 20:21:17,https://drive.google.com/file/d/1Zgw13vHFKIi8JwwWuBaHNyuEfaOtc1K-/view?usp=drivesdk,12/12/2019 20:21:17,,90236
Arduino2to3/連接圖片壓縮/A0與D9腳位2.jpg,A0與D9腳位2.jpg,12/12/2019 20:21:17,https://drive.google.com/file/d/1bRR8g5iJRl1P3_7O_b2RaQIZ5Z0j7Nl5/view?usp=drivesdk,12/12/2019 20:21:17,,88007
Arduino2to3/連接圖片壓縮/A0與D9腳位.jpg,A0與D9腳位.jpg,12/12/2019 20:21:17,https://drive.google.com/file/d/1eGfX8GS2ap4gqjg_x4fF22YUf3VdivIX/view?usp=drivesdk,12/12/2019 20:21:17,,80551
Arduino2to3/連接圖片壓縮/A0腳位 (2).jpg,A0腳位 (2).jpg,12/12/2019 20:21:14,https://drive.google.com/file/d/1eFhepKqrwQI9bcsLOBVdGbW_qLSg_vwG/view?usp=drivesdk,12/12/2019 20:21:14,,69526
Arduino2to3/連接圖片_435大小JPG檔,連接圖片_435大小JPG檔,12/12/2019 14:53:29,https://drive.google.com/drive/folders/102ckFtkdDyj5YklR8Rwkrf88xBaQ71Q7,12/12/2019 15:33:40,,0
Arduino2to3/連接圖片_435大小JPG檔/XY雙軸搖桿.jpg,XY雙軸搖桿.jpg,12/12/2019 14:53:58,https://drive.google.com/file/d/17DKZz1Rpa1JPax2ijLB-xmMqlw-iPG3y/view?usp=drivesdk,12/12/2019 16:21:26,,26617
Arduino2to3/連接圖片_435大小JPG檔/按鈕與紅綠燈LED.jpg,按鈕與紅綠燈LED.jpg,12/12/2019 14:53:51,https://drive.google.com/file/d/1FpYufS91kp4svB1jnyuhqcRRSQS5Glfc/view?usp=drivesdk,12/12/2019 15:04:19,,58620
Arduino2to3/連接圖片_435大小JPG檔/D9腳位.jpg,D9腳位.jpg,12/12/2019 14:53:51,https://drive.google.com/file/d/1QJEVHzfIYRf_8fP-qhexyqUgcmqy2rCd/view?usp=drivesdk,12/12/2019 15:03:39,,61984
Arduino2to3/連接圖片_435大小JPG檔/RGB腳位.jpg,RGB腳位.jpg,12/12/2019 14:53:54,https://drive.google.com/file/d/1ZpOc-S-qkI1XSS8MXXGCIOD7Gr53Ishk/view?usp=drivesdk,12/12/2019 15:03:29,,56091
Arduino2to3/連接圖片_435大小JPG檔/紅綠燈LED.jpg,紅綠燈LED.jpg,12/12/2019 14:53:54,https://drive.google.com/file/d/1f7zZPmTvBvhC182DoqeJDknHuCGZ-W_m/view?usp=drivesdk,12/12/2019 15:03:22,,19606
Arduino2to3/連接圖片_435大小JPG檔/全彩LED.jpg,全彩LED.jpg,12/12/2019 14:53:54,https://drive.google.com/file/d/1GS3bHNZBGkYA3GTfHYOrt-RNZ2m5q6ee/view?usp=drivesdk,12/12/2019 15:03:16,,18858
Arduino2to3/連接圖片_435大小JPG檔/蜂鳴器.jpg,蜂鳴器.jpg,12/12/2019 14:53:54,https://drive.google.com/file/d/1zVGEYrBWttltgMvhBTE13rVFPdorJvFX/view?usp=drivesdk,12/12/2019 15:03:02,,22249
Arduino2to3/連接圖片_435大小JPG檔/RGB與D3腳位.jpg,RGB與D3腳位.jpg,12/12/2019 14:53:51,https://drive.google.com/file/d/1uDjFODpDk7p1pq8hCI_wIMMGNCEc5QKr/view?usp=drivesdk,12/12/2019 15:02:56,,59997
Arduino2to3/連接圖片_435大小JPG檔/按鈕開關.jpg,按鈕開關.jpg,12/12/2019 14:53:49,https://drive.google.com/file/d/1QUdsjoys4xedQMNAUjuh_nE21AHQ8Ch2/view?usp=drivesdk,12/12/2019 15:02:42,,22466
Arduino2to3/連接圖片_435大小JPG檔/滾動與蜂鳴.jpg,滾動與蜂鳴.jpg,12/12/2019 14:53:49,https://drive.google.com/file/d/1rahMvfXeFgsaPO3TSMf2z4GXSRjDXAAY/view?usp=drivesdk,12/12/2019 15:02:35,,28945
